region,marital,gender,longmon,tollmon,equipmon,cardmon,wiremon,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,custcat,churn
2,0,0,15.25,24.5,37.45,27.25,30.05,1,0,1,1,1,1,1,1,1,4,1
3,1,0,9.05,0,0,6.75,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,8.95,21.25,0,0,0,0,0,0,0,1,1,1,1,0,3,0
1,1,0,57.05,51.5,0,19.25,0,1,0,0,0,1,1,1,1,0,3,0
1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,1,3.15,0,27.25,16.25,17.95,0,0,0,1,1,0,0,1,1,1,1
1,1,0,8.55,0,0,19.75,0,0,0,0,0,0,0,0,0,0,1,0
3,0,1,6.6,0,23.3,0,0,1,0,0,1,0,0,0,0,1,2,0
1,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,7.25,0,33.5,0,20.65,1,1,0,1,0,0,0,0,1,2,0
2,1,0,24.5,24.75,0,12.5,29.65,1,0,0,0,1,1,1,1,0,3,0
1,0,0,3.15,0,25.05,0,0,0,0,1,1,0,0,0,0,1,1,0
1,1,0,10.6,0,0,0,0,0,0,0,0,1,1,1,1,0,3,1
2,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,1,30.25,30.25,0,30.75,0,0,1,0,0,1,1,1,1,0,3,0
1,0,1,7.85,44,49.6,10.5,43.75,1,1,1,1,1,1,1,1,1,4,0
3,1,1,8.9,33.75,0,5.75,0,1,1,1,1,1,1,1,1,0,4,0
2,0,0,1.65,0,21.6,0,0,0,0,0,0,0,0,0,1,0,1,1
3,1,0,11.85,22.5,0,35,0,1,1,1,0,1,1,1,1,0,4,1
2,0,1,5.5,31.5,0,19.25,0,0,0,1,0,1,1,1,1,0,3,0
2,1,1,14.65,0,40.45,14.25,0,1,0,0,1,0,0,0,0,0,2,0
2,1,0,7.25,0,29.15,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,4.85,0,27.7,0,0,1,0,0,0,0,0,0,0,0,2,0
2,1,0,17.25,0,48,87.5,33.25,1,1,1,1,1,0,1,0,1,4,1
2,0,1,3.4,23.75,49.8,0,35.75,0,1,1,1,1,1,1,1,1,4,1
1,1,0,7.45,26.75,0,24.75,0,0,0,0,0,1,1,1,0,0,3,0
3,1,0,7.1,0,39.4,0,0,1,0,1,1,0,0,0,0,1,2,0
2,0,1,13.2,27.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,1,1,12.25,0,38.4,8.75,35.95,1,1,0,1,0,0,0,1,1,2,0
3,0,1,5.85,38.25,0,22.25,40.35,1,1,1,1,1,1,1,1,1,4,0
3,1,1,3.75,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2,0,0,10.2,0,36.4,14.5,30.9,1,1,0,1,1,1,0,0,1,4,1
1,1,0,5.7,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0
3,1,1,11.55,12.75,0,21.5,0,1,0,0,0,0,0,0,0,0,2,1
2,1,1,8.65,30.5,0,9,0,0,0,0,0,0,1,1,1,0,3,1
3,0,1,19.3,0,0,22.75,0,1,0,0,0,0,1,0,0,0,2,0
1,0,0,3.05,0,31.3,14,0,1,0,0,1,1,1,1,1,1,4,0
3,1,1,24.05,0,35.4,21.25,0,1,0,0,0,1,0,1,1,1,3,0
2,0,0,4,24.75,0,27.25,0,0,0,0,0,1,1,1,1,0,3,1
1,1,1,6.7,0,33,0,0,1,0,1,1,0,0,0,0,1,2,1
2,0,1,7.6,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0
2,0,1,5,21.75,0,0,24.15,1,0,0,0,0,0,1,1,1,2,1
1,0,0,9.6,0,0,9.5,0,0,0,0,0,0,0,0,0,0,1,0
3,0,1,6.6,39.75,0,37.25,38.25,1,1,1,0,1,1,1,1,1,4,0
1,0,0,5.85,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
2,1,0,25.25,0,0,33,0,1,0,0,0,0,0,0,0,0,2,0
3,1,1,12.6,0,0,12.5,0,1,0,0,1,0,0,0,0,1,2,0
2,1,1,9.95,14.75,26.15,0,0,1,0,0,0,0,0,0,0,0,2,1
2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2,0,0,12.05,0,27.15,6.5,0,1,0,0,1,0,0,0,0,1,2,0
1,0,1,17.3,21.25,0,19.25,0,1,0,0,0,1,1,1,1,0,3,0
1,0,1,4.8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3,0,0,3.8,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0
1,1,1,13,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0
1,0,0,13.8,0,0,25.5,0,0,0,0,0,1,1,1,1,0,3,0
3,0,0,3.45,15.5,23.3,23.5,0,0,0,0,1,0,0,1,0,0,1,1
2,0,1,14.8,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,0,4.25,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,1,0,5.8,0,35.35,0,21.65,1,0,0,1,0,0,0,0,1,2,1
3,1,0,5.4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
2,0,1,10.15,0,0,17.75,0,1,0,0,0,0,0,0,0,0,2,0
3,0,1,5.35,0,28.1,9,24.7,0,1,0,1,1,0,0,1,1,4,0
2,1,0,9.6,0,26.75,0,0,1,0,0,1,0,0,0,0,1,2,1
3,1,1,9.45,0,26.85,0,0,1,0,0,1,0,0,0,0,0,2,1
2,1,1,26.15,84,0,11.25,45.45,1,1,1,0,1,1,1,1,0,4,0
1,1,0,23.15,36.75,0,36,34.3,1,0,0,0,0,0,1,1,0,3,1
2,1,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,12.4,48.75,0,36.5,58.4,0,1,1,0,1,1,1,1,0,4,0
1,1,1,19.3,0,33.4,50.75,0,1,1,0,1,0,0,1,0,1,2,1
2,0,0,9.05,24.25,41.85,12.25,39.6,1,0,1,0,1,1,1,1,0,3,0
3,0,1,4.25,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
2,0,1,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4.25,0,0,16.25,26.75,1,0,1,0,1,1,1,1,0,3,0
3,1,1,13.9,23.25,28.5,3.75,0,1,0,1,0,0,1,1,0,0,3,0
3,0,0,3.8,19.25,61.45,19,58.25,1,1,1,1,1,1,1,1,1,4,1
1,1,1,8.6,24,41.15,17.75,28,0,1,1,1,1,1,1,1,0,4,0
1,1,0,22.05,34.75,0,9.75,0,1,0,0,0,0,1,0,1,0,3,0
1,1,1,4.85,18.25,35.05,34.75,31.65,0,0,1,1,1,1,1,1,1,4,0
2,1,0,32.25,0,0,33.5,0,1,0,0,0,0,0,0,0,0,2,0
1,0,1,1.9,15.75,28.7,5,24.15,0,0,1,0,1,1,1,1,0,3,0
3,0,1,20.25,21.25,39.4,9.75,28.35,0,0,0,1,0,0,1,1,1,1,0
2,1,0,12.1,20.5,54.3,9.75,35.35,1,1,1,1,1,1,1,1,1,4,0
3,1,1,8.15,0,27.95,0,0,1,0,0,1,1,0,1,0,0,2,1
3,1,1,13.65,0,0,20.75,0,1,0,0,0,0,0,0,1,0,2,0
1,0,0,10.25,0,0,10.75,0,1,0,0,0,0,0,0,0,0,2,0
2,1,1,17.2,0,0,13.25,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,21.8,27.25,42,8,0,1,0,0,1,1,1,0,1,0,3,0
3,0,1,12.8,16,39.2,17.25,31,1,1,1,1,1,0,1,1,1,4,0
3,0,0,8.1,18,45.6,56.5,66.9,1,1,1,1,0,0,1,0,1,4,0
3,0,0,8.95,37.75,54.1,28.5,50.75,1,1,1,0,1,1,1,1,1,4,0
1,1,1,3.35,22.5,0,9.25,0,0,1,0,1,1,1,0,1,0,3,0
2,0,0,2.5,0,25.3,13.75,0,0,0,0,1,0,0,1,0,1,1,0
2,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,12.95,0,33.05,0,0,1,0,0,1,0,0,0,0,1,2,1
3,0,1,7.05,0,0,14.5,0,0,0,0,0,1,1,1,1,0,3,0
3,1,1,12.9,27.75,0,8.75,0,0,0,0,0,1,1,1,1,0,3,0
2,1,1,14.6,33,0,15.75,0,0,0,0,0,1,1,1,1,0,3,0
2,1,0,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,1,6.5,0,0,16,0,0,0,0,0,1,1,0,0,0,3,0
1,0,1,17.45,0,39.25,10.25,0,1,0,0,1,0,0,0,0,1,2,0
1,1,0,45.05,0,33,35,0,1,0,0,1,0,0,0,0,0,2,0
3,1,0,12.2,0,38.75,9.25,28.05,0,1,1,1,1,1,1,0,1,4,1
3,1,1,4.7,0,0,16.5,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,2.45,0,29.8,0,0,0,1,0,0,0,1,0,0,1,1,0
1,0,0,21.1,0,38.55,0,25.3,1,0,0,1,0,0,0,0,1,2,1
2,1,0,6.2,18.25,36.65,10.5,28.8,1,1,1,1,1,1,1,1,0,4,0
1,1,1,4.35,13,0,8,0,0,0,0,0,1,1,0,0,0,1,0
2,1,1,14.2,71,73.8,38.75,62.45,1,1,1,1,1,1,1,1,1,4,0
2,0,1,4.65,0,28.35,0,0,0,0,0,1,0,0,0,0,1,1,1
3,0,1,24.3,0,0,17.25,0,1,0,0,0,0,0,0,0,0,2,0
3,0,0,4.45,13.5,0,0,0,0,0,1,1,0,0,0,1,0,1,1
1,0,1,15,0,0,39.25,0,0,0,0,0,1,0,0,1,0,3,0
3,1,0,9.35,20.25,51.35,6,36,1,1,1,1,0,1,1,0,0,4,1
3,0,1,11,17.5,40.9,6,32.05,0,0,1,1,1,1,1,1,1,4,0
1,0,1,2.9,0,19.9,0,0,0,0,0,0,0,0,0,0,0,1,1
2,1,0,14.2,30.5,64.2,31.5,66.55,1,1,1,1,1,1,1,1,1,4,0
2,0,0,3.15,13.25,0,30.5,0,0,0,0,0,1,1,0,0,0,1,0
3,1,0,7.1,0,23.4,0,0,1,0,0,1,0,0,0,0,0,2,0
2,1,0,14.85,0,37,11,0,1,0,0,1,0,0,0,0,1,2,0
3,0,0,17.45,0,0,14.75,0,1,0,0,0,0,0,0,0,0,2,0
3,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3,1,1,4.65,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1,1,0,14.45,0,35.95,23,24.75,1,1,1,1,0,0,0,0,1,2,1
3,1,1,15,40,0,17.5,45.1,1,1,0,0,1,1,1,1,0,3,0
1,1,1,7.5,30.25,33.9,0,0,1,0,0,1,1,1,1,0,0,3,1
2,1,1,10.6,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0
3,0,1,5.05,18.5,40.8,12.5,28.85,0,1,1,1,0,1,1,1,1,4,0
1,0,1,7.9,0,25.2,5,0,1,0,0,1,0,0,0,0,0,2,1
1,0,0,36.25,27.75,0,38.5,0,1,1,0,0,0,1,0,1,0,3,0
3,1,0,6.35,27.25,53.95,11.75,63,1,1,1,1,1,1,1,1,1,4,0
1,1,1,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,9.25,0,22.7,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,0,21.2,24,0,14.5,0,1,0,0,0,1,1,1,1,0,3,0
3,0,1,2.8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3,0,1,89.4,0,46.55,18.75,0,1,1,1,1,0,0,1,1,0,4,0
1,0,0,7.7,0,0,9.5,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,4.45,26.25,0,9.75,35.9,0,0,1,1,1,1,1,1,0,4,0
1,1,1,7,0,35.55,0,0,1,0,0,1,0,1,0,1,0,2,0
2,1,0,12.7,0,0,7,0,1,0,0,0,0,0,0,0,0,2,0
1,1,0,12.65,21.25,0,34,47.85,0,1,1,0,1,1,1,1,0,4,1
2,1,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,99.95,0,0,12.5,0,1,0,0,0,0,1,0,1,0,3,0
1,1,1,7.5,12.75,48.65,7.5,39.5,1,1,1,1,1,1,1,1,1,4,1
3,0,1,49.6,32.75,0,48.75,60.15,1,1,0,0,1,1,1,1,0,3,0
3,1,1,13.1,18.25,0,18.75,0,1,0,0,0,1,1,1,1,0,3,0
3,0,1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2.15,0,20.75,0,0,0,0,0,0,0,0,0,0,1,1,1
3,1,0,10.4,0,0,12.5,0,0,0,0,0,0,0,0,0,1,1,1
2,0,0,3.7,0,0,0,0,1,0,0,1,0,0,1,1,1,2,0
2,0,0,14.25,0,0,21,0,1,0,0,0,0,0,0,0,0,2,0
2,0,1,26.25,0,0,74,0,0,0,0,0,0,0,0,0,0,1,0
2,1,0,6.9,0,0,14,0,0,0,0,0,1,1,1,0,0,3,0
3,1,0,6.95,25,36.7,0,0,1,1,0,1,0,1,1,0,1,4,1
2,1,0,54.8,67.25,51.35,69.5,55.5,1,1,1,1,1,1,1,1,0,4,0
3,0,0,7.75,0,29.3,0,26.15,0,0,0,0,0,0,0,0,1,1,0
1,0,1,4.25,0,0,13.25,0,0,0,0,0,1,0,1,1,0,3,0
3,0,1,2.7,13,24,0,0,1,1,1,0,0,0,1,0,1,4,0
3,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3,1,0,12.55,23.5,0,10.25,0,0,0,0,0,1,1,1,1,0,3,0
2,0,1,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,15.3,28.5,0,16,32.55,1,1,1,0,1,1,1,1,0,4,1
2,1,1,9.1,40.75,48.4,16,50.6,0,1,1,1,1,1,1,1,0,4,0
2,0,1,4.5,17,36.2,19.25,33.4,0,0,0,1,0,1,1,0,0,1,0
3,0,0,6.1,18.75,0,24.25,22.8,0,1,0,1,1,1,1,1,0,3,1
2,0,0,33.95,87,0,33.5,0,1,0,0,0,1,1,1,1,0,3,0
1,0,0,11.05,22.25,0,18.75,0,0,0,0,0,1,1,1,1,0,3,0
1,1,1,8.1,29.5,0,28.5,0,0,0,0,0,1,1,1,1,0,3,0
1,1,0,32.2,0,0,82.25,0,1,0,0,0,0,0,0,0,0,2,0
2,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0,13.3,31,62.35,10,96.25,1,1,1,1,1,1,1,1,1,4,0
2,0,0,7.7,0,0,9.25,0,1,0,0,0,0,0,1,0,0,2,0
2,1,0,11.95,55,0,48,85.85,1,1,1,0,1,1,1,1,1,4,0
2,1,0,13.9,0,33.3,16.5,0,0,0,1,0,1,1,1,1,1,4,0
3,0,1,5.25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,1,0,18.9,59.75,0,20.25,59.15,1,1,1,0,1,1,1,1,0,4,0
3,0,1,8,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,35.15,34.75,0,21.5,50.7,1,1,0,0,1,1,1,1,1,4,0
3,0,0,18.6,52.75,0,24,0,1,0,1,0,1,1,1,1,0,3,0
3,1,0,7.6,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1
3,0,1,7.45,0,30.9,0,0,0,0,0,1,0,0,0,0,0,1,0
3,0,1,13.75,22.75,0,10.25,0,1,1,0,0,1,0,1,1,0,3,1
2,0,0,17.5,15.5,0,16.75,0,1,0,0,0,0,0,0,0,0,2,0
1,0,1,7.6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,1,1,5.15,14.5,0,24.75,0,0,0,0,0,0,0,1,1,0,1,0
2,1,1,8.8,0,30.95,23,23.35,1,1,0,0,0,0,0,0,0,2,0
1,0,0,3.9,0,23.8,0,0,0,0,0,1,0,0,0,0,1,1,0
2,1,1,9.3,25,0,17,0,1,0,0,1,1,1,1,0,1,4,0
1,1,0,11.05,0,36.3,0,30.15,1,1,0,1,1,0,0,0,1,2,1
1,0,1,7.75,0,0,13,0,1,0,0,1,0,0,0,0,0,2,0
3,0,0,2.85,0,28.25,19.5,0,0,1,0,1,0,1,1,1,1,4,1
2,1,1,21.3,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0
2,0,1,4.05,0,31.45,0,0,1,1,0,1,0,0,1,0,1,2,1
3,1,0,10.9,0,0,41,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,16.3,0,33.35,10.25,37.9,1,0,1,1,1,1,0,0,1,4,0
3,0,0,4.15,15,46.05,0,41.85,1,1,1,1,1,1,1,0,1,4,1
1,0,1,14.2,27,0,30,0,1,1,1,0,0,1,1,1,0,4,0
2,0,1,6.05,0,0,5,0,0,0,0,1,0,1,0,1,1,1,0
2,0,1,13.65,29.25,0,22.75,0,1,0,0,0,1,1,1,1,1,3,0
3,1,1,32.9,0,0,15,0,1,0,0,0,0,0,0,0,0,2,0
2,1,1,10.75,0,0,14.75,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,9.25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,0,2.25,13.75,0,11.25,0,0,0,0,0,1,0,1,1,0,3,0
2,1,0,12.5,23,0,0,0,1,0,0,0,1,1,0,1,0,3,0
1,1,0,9.4,0,0,14.75,0,0,0,0,0,1,1,1,0,0,3,0
2,0,1,5.05,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,0,1,6.75,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0
1,0,0,27.15,0,42.7,17,41.15,1,0,1,1,1,0,0,0,1,2,0
1,0,0,27.5,21.75,52.1,20.25,47.9,1,1,1,1,1,1,1,1,1,4,0
2,0,0,12.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,1,4.3,22.25,0,13.75,0,0,1,0,0,1,1,1,1,0,3,0
2,1,0,42.9,17.25,0,17.5,0,1,0,0,0,0,0,1,0,0,2,0
1,0,1,8.5,0,0,8.5,0,1,0,0,0,0,1,0,0,0,2,0
1,0,1,28.9,39.25,0,84.75,0,1,1,0,0,1,1,1,1,0,3,0
2,0,0,12.9,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0
3,0,0,8.4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,11.15,35,77.7,20,80.35,1,1,1,1,1,1,1,1,1,4,0
2,1,0,5.75,0,51.75,36,36.7,1,1,1,1,1,1,1,1,1,4,1
1,1,1,6.85,27.75,0,0,0,0,0,1,0,0,0,1,1,0,3,1
1,0,1,23.3,0,48.35,29.75,35.15,1,0,0,1,0,0,0,1,0,2,0
1,1,0,6.7,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0
2,1,1,8.65,21.25,0,6.5,19.65,0,0,0,1,1,0,1,1,0,3,0
1,1,1,12.2,41.5,0,18.75,54.4,1,1,1,0,1,1,1,1,0,4,0
1,1,1,4.7,31,0,0,0,0,0,0,0,1,1,1,1,0,3,0
2,0,1,9.65,28.5,0,11.25,0,0,0,0,0,1,1,1,1,0,3,0
2,1,0,15.5,19.25,29.6,31.5,0,1,0,0,0,0,1,0,0,0,2,0
3,1,0,3.85,23,33.05,6.75,0,0,0,1,1,1,1,1,0,1,4,0
1,1,0,20.6,0,0,31.25,0,1,0,0,0,0,0,1,1,0,3,0
1,0,1,10.75,0,0,21.25,0,1,0,0,1,0,0,0,0,0,2,1
1,0,1,6.65,20.25,0,8,24.65,1,0,0,1,1,1,0,1,0,3,0
2,1,0,5.75,27.5,39.2,40.5,21.4,0,1,1,0,1,1,1,1,0,4,0
2,0,0,11.5,26.25,40.7,12,48.3,1,1,0,1,1,1,1,1,1,4,0
2,0,0,6,27.5,0,0,0,0,0,0,0,1,0,0,1,0,3,0
3,0,0,16.15,0,0,15.75,0,0,1,0,0,0,0,0,0,1,1,0
1,0,0,6.15,33.75,0,29.75,44.75,1,1,1,1,1,1,1,1,0,4,0
2,1,1,9.8,0,30.6,0,0,1,0,0,0,0,0,0,0,0,2,0
3,1,1,21.7,26.25,0,12,0,1,0,0,0,1,0,1,0,0,3,0
1,1,0,6.45,0,29,0,0,0,0,0,1,1,1,1,0,1,3,0
1,1,0,8.35,0,22.95,0,0,1,0,0,0,0,0,0,0,1,2,0
3,0,1,12.75,0,0,38.5,0,1,0,0,0,0,0,0,1,0,2,0
2,0,1,2.7,0,32.7,0,0,0,0,0,1,0,0,0,1,1,1,1
1,1,0,4.55,15.75,33,0,23.95,1,0,1,1,0,1,1,0,1,4,1
1,1,0,5.15,0,25.55,0,0,1,0,0,1,0,0,0,0,1,2,1
2,0,1,3.8,30,32.8,8.5,0,0,0,0,1,1,1,1,1,1,3,0
3,0,1,7,24.5,42.8,23.5,30.75,1,1,1,0,1,1,1,1,0,4,1
2,1,0,20.1,0,32.55,22.75,0,0,0,0,0,0,0,0,0,0,1,0
3,1,0,3.15,0,20.05,0,0,0,0,0,1,0,0,0,0,1,1,1
1,0,1,9.4,0,0,8.75,0,1,0,0,0,0,0,0,0,1,2,1
1,1,1,3.95,0,30.75,0,0,1,0,0,0,0,0,0,0,0,2,1
1,1,0,7.55,41,42.35,23.5,35.75,0,1,1,1,1,1,1,1,0,4,0
2,1,1,3.55,18.75,0,29.25,27.9,0,1,1,0,1,1,1,1,0,4,0
2,0,0,7.8,0,42.4,14,23.2,0,0,0,1,0,0,1,1,1,1,1
1,1,1,8.7,0,0,23.75,0,0,1,0,1,1,0,1,0,0,3,1
2,1,1,1.05,0,15.4,0,0,0,0,0,0,0,0,0,0,1,1,1
3,1,1,4.35,12.75,34.05,0,21.5,0,1,1,1,1,0,1,0,1,4,1
1,1,1,3.9,0,24.15,0,0,0,1,0,0,0,0,0,0,0,1,1
3,0,0,3.5,25,43.65,24.5,27.7,1,1,1,1,1,1,1,1,1,4,1
1,1,0,9.55,16.5,0,8.25,0,1,0,0,0,0,1,0,1,0,3,0
3,0,0,4.3,0,32.1,0,0,1,0,0,1,0,0,0,0,1,2,1
